Date,Close/Last,Volume,Open,High,Low
09/13/2023,$271.30,111673700,$270.07,$274.98,$268.10
09/12/2023,$267.48,135999900,$270.76,$278.39,$266.60
09/11/2023,$273.58,174667900,$264.27,$274.85,$260.61
09/08/2023,$248.50,118559600,$251.22,$256.52,$246.67
09/07/2023,$251.49,115312900,$245.07,$252.81,$243.265
09/06/2023,$251.92,116959800,$255.135,$255.39,$245.06
09/05/2023,$256.49,129469600,$245.00,$258.00,$244.86
09/01/2023,$245.01,132541600,$257.26,$259.0794,$242.01
08/31/2023,$258.08,108861700,$255.98,$261.18,$255.05
08/30/2023,$256.90,121988400,$254.20,$260.51,$250.59
08/29/2023,$257.18,134047600,$238.58,$257.48,$237.77
08/28/2023,$238.82,107673700,$242.58,$244.38,$235.35
08/25/2023,$238.59,106612200,$231.31,$239.00,$230.35
08/24/2023,$230.04,99777430,$238.66,$238.92,$228.1801
08/23/2023,$236.86,101077600,$229.34,$238.98,$229.29
08/22/2023,$233.19,130597900,$240.25,$240.82,$229.55
08/21/2023,$231.28,135702700,$221.5512,$232.1343,$220.58
08/18/2023,$215.49,136276600,$214.12,$217.58,$212.36
08/17/2023,$219.22,120718400,$226.06,$226.74,$218.83
08/16/2023,$225.60,112484500,$228.02,$233.97,$225.38
08/15/2023,$232.96,88197600,$238.73,$240.50,$232.61
08/14/2023,$239.76,98595330,$235.70,$240.66,$233.75
08/11/2023,$242.65,99038640,$241.77,$243.79,$238.02
08/10/2023,$245.34,109498600,$245.40,$251.80,$243.00
08/09/2023,$242.19,101596300,$250.87,$251.10,$241.90
08/08/2023,$249.70,96642180,$247.45,$250.92,$245.01
08/07/2023,$251.45,111097900,$251.45,$253.6511,$242.76
08/04/2023,$253.86,99539910,$260.97,$264.77,$253.11
08/03/2023,$259.32,97829550,$252.04,$260.49,$252.00
08/02/2023,$254.11,101752900,$255.57,$259.52,$250.49
08/01/2023,$261.07,83645720,$266.26,$266.47,$260.25
07/31/2023,$267.43,84582170,$267.48,$269.08,$263.78
07/28/2023,$266.44,111446000,$259.86,$267.25,$258.2312
07/27/2023,$255.71,103697300,$268.31,$269.13,$255.30
07/26/2023,$264.35,95856180,$263.25,$268.04,$261.75
07/25/2023,$265.28,112757300,$272.38,$272.90,$265.00
07/24/2023,$269.06,137005000,$255.85,$269.85,$254.12
07/21/2023,$260.02,161796100,$268.00,$268.00,$255.80
07/20/2023,$262.90,175158300,$279.56,$280.93,$261.20
07/19/2023,$291.26,142355400,$296.04,$299.29,$289.5201
07/18/2023,$293.34,112434700,$290.15,$295.26,$286.01
07/17/2023,$290.38,131569600,$286.625,$292.23,$283.57
07/14/2023,$281.38,120062400,$277.01,$285.30,$276.31
07/13/2023,$277.90,112681500,$274.59,$279.45,$270.60
07/12/2023,$271.99,95672140,$276.325,$276.52,$271.46
07/11/2023,$269.79,91972360,$268.65,$270.90,$266.37
07/10/2023,$269.61,119425400,$276.47,$277.52,$265.10
07/07/2023,$274.43,113879200,$278.43,$280.78,$273.77
07/06/2023,$276.54,120707400,$278.09,$279.97,$272.88
07/05/2023,$282.48,131530900,$278.82,$283.85,$277.60
07/03/2023,$279.82,118999000,$276.49,$284.25,$275.11
06/30/2023,$261.77,112620800,$260.60,$264.45,$259.89
06/29/2023,$257.50,131283400,$258.03,$260.74,$253.61
06/28/2023,$256.24,159770800,$249.70,$259.88,$248.89
06/27/2023,$250.21,164968200,$243.24,$250.3899,$240.85
06/26/2023,$241.05,179990600,$250.065,$258.37,$240.70
06/23/2023,$256.60,177460800,$259.29,$262.45,$252.80
06/22/2023,$264.61,166875900,$250.77,$265.00,$248.25
06/21/2023,$259.46,211797100,$275.13,$276.99,$257.78
06/20/2023,$274.45,165611200,$261.50,$274.75,$261.12
06/16/2023,$260.54,167915600,$258.92,$263.60,$257.2091
06/15/2023,$255.90,160171200,$248.40,$258.95,$247.29
06/14/2023,$256.79,170575500,$260.17,$261.57,$250.50
06/13/2023,$258.71,162384300,$253.51,$259.68,$251.34
06/12/2023,$249.83,150740500,$247.94,$250.97,$244.59
06/09/2023,$244.40,200242400,$249.07,$252.42,$242.02
06/08/2023,$234.86,164489700,$224.22,$235.23,$223.01
06/07/2023,$224.57,185710800,$228.00,$230.8296,$223.20
06/06/2023,$221.31,146911600,$216.14,$221.91,$212.53
06/05/2023,$217.61,151143100,$217.80,$221.29,$214.52
06/02/2023,$213.97,164398400,$210.15,$217.25,$209.752
06/01/2023,$207.52,148029900,$202.59,$209.80,$199.37
05/31/2023,$203.93,150711700,$199.78,$203.95,$195.12
05/30/2023,$201.16,128818700,$200.10,$204.48,$197.53
05/26/2023,$193.17,162061500,$184.62,$198.60,$184.53
05/25/2023,$184.47,96870720,$186.54,$186.78,$180.58
05/24/2023,$182.90,137605100,$182.23,$184.22,$178.22
05/23/2023,$185.77,156952100,$186.20,$192.96,$185.26
05/22/2023,$188.87,132001400,$180.70,$189.32,$180.11
05/19/2023,$180.14,136196700,$177.17,$181.95,$176.31
05/18/2023,$176.89,109520300,$174.22,$177.06,$172.45
05/17/2023,$173.86,125473600,$168.41,$174.50,$167.185
05/16/2023,$166.52,98288790,$165.65,$169.5184,$164.35
05/15/2023,$166.35,105592500,$167.655,$169.76,$164.5499
05/12/2023,$167.98,157849600,$176.07,$177.38,$167.23
05/11/2023,$172.08,103889900,$168.70,$173.57,$166.79
05/10/2023,$168.54,119840700,$172.55,$174.43,$166.68
05/09/2023,$169.15,88965040,$168.95,$169.82,$166.56
05/08/2023,$171.79,112249400,$173.72,$173.80,$169.19
05/05/2023,$170.06,107607300,$163.97,$170.7899,$163.51
05/04/2023,$161.20,95108490,$162.71,$162.95,$159.65
05/03/2023,$160.61,119728000,$160.01,$165.00,$159.91
05/02/2023,$160.31,128259700,$161.88,$165.49,$158.93
05/01/2023,$161.83,109015000,$163.17,$163.28,$158.83
04/28/2023,$164.31,122515800,$160.90,$165.00,$157.32
04/27/2023,$160.19,127015200,$152.64,$160.48,$152.37
04/26/2023,$153.75,153364100,$160.29,$160.67,$153.14
04/25/2023,$160.67,121999300,$159.82,$163.47,$158.75
04/24/2023,$162.55,140006600,$164.65,$165.65,$158.61
04/21/2023,$165.08,123539000,$164.80,$166.00,$161.3208
04/20/2023,$162.99,210970800,$166.165,$169.70,$160.56
04/19/2023,$180.59,125732700,$179.10,$183.50,$177.65
04/18/2023,$184.31,92067020,$187.15,$187.69,$183.5775
04/17/2023,$187.04,116662200,$186.32,$189.69,$182.69
04/14/2023,$185.00,96438660,$183.95,$186.28,$182.01
04/13/2023,$185.90,112933000,$182.955,$186.50,$180.94
04/12/2023,$180.54,150256300,$190.74,$191.5846,$180.31
04/11/2023,$186.79,115770900,$186.69,$189.19,$185.6475
04/10/2023,$184.51,142154600,$179.94,$185.10,$176.11
04/06/2023,$185.06,123857900,$183.08,$186.39,$179.74
04/05/2023,$185.52,133882500,$190.515,$190.68,$183.76
04/04/2023,$192.58,126463800,$197.32,$198.7446,$190.32
04/03/2023,$194.77,169545900,$199.91,$202.6897,$192.20
03/31/2023,$207.46,170222100,$197.53,$207.79,$197.20
03/30/2023,$195.28,110252200,$195.58,$197.33,$194.42
03/29/2023,$193.88,123660000,$193.13,$195.29,$189.44
03/28/2023,$189.19,98654640,$192.00,$192.35,$185.43
03/27/2023,$191.81,120851600,$194.415,$197.39,$189.94
03/24/2023,$190.41,116531600,$191.65,$192.36,$187.15
03/23/2023,$192.22,144193900,$195.26,$199.31,$188.65
03/22/2023,$191.15,150376400,$199.30,$200.66,$190.95
03/21/2023,$197.58,153391400,$188.28,$198.00,$188.04
03/20/2023,$183.25,129684400,$178.08,$186.44,$176.35
03/17/2023,$180.13,133197100,$184.515,$186.2199,$177.33
03/16/2023,$184.13,121374500,$180.365,$185.81,$178.84
03/15/2023,$180.45,145995600,$180.80,$182.34,$176.03
03/14/2023,$183.26,143717900,$177.31,$183.80,$177.1401
03/13/2023,$174.48,167790300,$167.455,$177.35,$163.91
